id,name,description,acronyme,billing_address_city,billing_address_country,billing_address_postalcode,date_fermeture,date_ouverture,directeur_unite_id,delegation_regionale,email,equivalence_autre_institut,etat_avancement_convention,idexternecpa,status,website,cotutelles,mandat_demander,typologie_mandat,thematique,thematique_mandat,annee_renouvellement,decision_apres_evaluation,vague_renouvellement,mandataire_unique_pi_valo,mandataire_unique_collab_rd,team_id,team_set_id,assigned_user_id,structure_valorisation_id,delegation_global_gestion_id,delegation_regionale_id,type_convention,pui,num_rnsr
0b20af04-cbd8-11ee-8d87-506b8df7f2c7,U1328 ERL - RoDIn,"Robotique, Données et Imagerie pour la chirurgie et les procédures interventionnelles",U1328,Strasbourg,63,67091,,2024-01-01,ae27f1ae-cbd7-11ee-8b97-506b8df7f2c7,DR Est,,,,47434080,actif,,INSERM; Université de Strasbourg; CNRS,,,0,,,,c,Université de Strasbourg,Université de Strasbourg,1,1,9291620,,,158457,,strasbourg,202424525H
1076cb47-81f8-9f64-1f84-54ef317e5025,"U1170 (ex U985, fusion avec U1009 et U749) (mixte Paris XI et IGR)",HEMATOPOIESE NORMALE ET PATHOLOGIQUE,U1170,Villejuif,63,94805,,2015-01-01,143100,DR Paris-IDF Sud (ex Paris 11),,,,19153711,actif,,Institut Gustave Roussy; Université Paris-Sud (ex Paris XI),,,0,,,fermee/renouvelle,e,,,1,1,14578880,164192,,158456,,paris_saclay,201521295L
10bb7e80-a146-b5e2-a42f-5ea7169a16fb,"U1281 (mixte Saclay, CEA et CNRS) - BioMaps","BioMaps : laBoratoire d’imagerie biomédicale MultimodAle Paris Saclay

-	CEA est désigné mandataire unique pour les résultats qui relèvent de l'imagerie nucléaire ou majoritairement de cette dernière.
-	UPSaclay est désigné mandataire unique pour tous les autres types de résultats. 
",U1281,Orsay,63,91401,,2020-01-10,d3fb01ac-6b77-1ca5-66b7-5ea717b160e1,DR Paris-IDF Sud (ex Paris 11),,,,26479602,actif,,Université Paris-Saclay,,,0,,,,e,Université Paris-Saclay,Université Paris-Saclay,1,1,9291620,164192,,158456,,paris_saclay,202023520H
123076ff-dcf8-38f5-f1ed-620f697cdc18,"U1307 (mixte Nantes, Angers et CNRS) - CRCI2NA","Centre de Recherche en Cancérologie et Immunologie Intégrée Nantes Angers
éclatement de l'U1232",U1307,Nantes,63,44007,,2022-01-01,142474,DR Grand Ouest,,,,32516253,actif,,Université de Nantes; CNRS; Université d'Angers,,,0,,,,b,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,9291620,163982,,161356,,nantes,202224192E
1240222a-983d-11ee-b334-506b8df7f2c7,US057 (mixte Montpellier) - ISDM,Institut de Science des Données de Montpellier,US057,Montpellier cedex 5,63,34090,,2024-01-01,05d91c44-983d-11ee-a5a5-506b8df7f2c7,DR Occitanie Méditerranée,,,signee,43590068,actif,,INSERM; Université de Montpellier,,,0,,,cree,a,Université de Montpellier,Université de Montpellier,1,1,9291620,164224,,158453,convention_mixite,montpellier,201923736X
13c21fba-5b0a-32bf-d72d-60421bfec6b3,US046 (mixte Grenoble et CNRS) - hTAG,hTAG : Haute Technologie Animale Grenobloise,US046,La Tronche,63,38700,,2021-01-01,143257,DR Auvergne-Rhône-Alpes,,,,29324268,actif,,CNRS; Université Grenoble Alpes,,,0,,,,a,,,1,1,9291620,,,158451,,grenoble,202123695U
152e26d1-f4da-433a-b731-54f1fb7c7bd0,U1186 (ex U753) (mixte Paris XI et IGR),Immunologie intégrative des tumeurs et génétique oncologique,U1186,Villejuif,63,94805,,2015-01-01,141877,DR Paris-IDF Sud (ex Paris 11),,,,19156781,actif,,Université Paris-Sud (ex Paris XI); Institut Gustave Roussy,,,0,,,fermee/renouvelle,e,,,1,1,14578880,164192,,158456,,paris_saclay,200616424F
161044,U861 (mixte Evry et CECS depuis 2015) - I-STEM,INSTITUT DES CELLULES SOUCHES POUR LE TRAITEMENT ET L'ETUDE DES MALADIES MONOGENIQUES (I-STEM),U861 (I-STEM),Evry,63,91030,,2007-01-01,143755,DR Paris-IDF Sud (ex Paris 11),,,,12505670,actif,,Centre d'Etude des Cellules Souches; Université d'Evry Val d'Essonne,,,0,,,,e,,,1,1,14578880,164192,,158456,,paris_saclay,201019016F
161846,U981 (mixte Paris XI et IGR),IDENTIFICATION DE NOUVELLES CIBLES THERAPEUTIQUES EN CANCEROLOGIE,U981,Villejuif,63,94805,,2010-01-01,143866,DR Paris-IDF Sud (ex Paris 11),,,,14250537,actif,,Université Paris-Saclay; Institut Gustave Roussy,,,0,,,renouvellee,e,,,1,1,14578880,164192,,158456,,paris_saclay,201019142T
161853,U987 (mixte Versailles-St Quentin),PHYSIOPATHOLOGIE ET PHARMACOLOGIE CLINIQUE DE LA DOULEUR,U987,Boulogne billancourt,63,92100,,2010-01-01,142361,DR Paris-IDF Sud (ex Paris 11),,,,14251851,actif,,Université Versailles - St-Quentin-en-Yvelines,,,0,,,renouvellee,e,,,1,1,14578880,164192,,158456,,paris_saclay,200616453M
